"","OM","MP","y3","y5","y10","n"
"1","OMbase",1,0.68,0.82,0.94,5
"2","OMbase",2,0.41,0.47,0.59,11
"3","OMbase",3,0.17,0.13,0.1,11
"4","OMbase",4,0.41,0.46,0.55,11
"5","OMbase",5,0.4,0.43,0.47,11
"6","OMbase",6,0.32,0.34,0.35,11
"7","OMbase",7,0.34,0.37,0.4,11
"8","OMbase",8,0.28,0.29,0.28,11
"9","OMbase",9,0.23,0.22,0.19,11
"10","OMbase",10,0.19,0.17,0.13,11
"11","OMbase",11,0.17,0.13,0.094,11
"12","OMcore1",1,0.75,0.87,0.96,4
"13","OMcore1",2,0.52,0.64,0.8,9
"14","OMcore1",3,0.24,0.29,0.41,11
"15","OMcore1",4,0.52,0.63,0.78,10
"16","OMcore1",5,0.51,0.6,0.72,11
"17","OMcore1",6,0.43,0.54,0.66,11
"18","OMcore1",7,0.43,0.54,0.69,11
"19","OMcore1",8,0.36,0.46,0.61,11
"20","OMcore1",9,0.32,0.38,0.52,11
"21","OMcore1",10,0.28,0.33,0.46,11
"22","OMcore1",11,0.24,0.29,0.4,11
"23","OMcore2",1,0.63,0.82,0.96,6
"24","OMcore2",2,0.37,0.51,0.69,11
"25","OMcore2",3,0.14,0.14,0.14,11
"26","OMcore2",4,0.37,0.49,0.66,11
"27","OMcore2",5,0.35,0.45,0.57,11
"28","OMcore2",6,0.27,0.35,0.45,11
"29","OMcore2",7,0.29,0.38,0.51,11
"30","OMcore2",8,0.24,0.29,0.37,11
"31","OMcore2",9,0.2,0.22,0.25,11
"32","OMcore2",10,0.17,0.17,0.17,11
"33","OMcore2",11,0.14,0.13,0.12,11
"34","OMcore3",1,0.57,0.69,0.86,8
"35","OMcore3",2,0.32,0.36,0.41,11
"36","OMcore3",3,0.11,0.082,0.06,11
"37","OMcore3",4,0.31,0.35,0.37,11
"38","OMcore3",5,0.3,0.31,0.3,11
"39","OMcore3",6,0.24,0.23,0.22,11
"40","OMcore3",7,0.25,0.26,0.25,11
"41","OMcore3",8,0.21,0.19,0.15,11
"42","OMcore3",9,0.17,0.14,0.098,11
"43","OMcore3",10,0.14,0.1,0.07,11
"44","OMcore3",11,0.11,0.08,0.052,11
"45","OMcore4",1,0.75,0.87,0.97,4
"46","OMcore4",2,0.43,0.49,0.58,11
"47","OMcore4",3,0.18,0.15,0.13,11
"48","OMcore4",4,0.43,0.48,0.56,11
"49","OMcore4",5,0.42,0.45,0.48,11
"50","OMcore4",6,0.34,0.36,0.38,11
"51","OMcore4",7,0.36,0.39,0.41,11
"52","OMcore4",8,0.3,0.31,0.31,11
"53","OMcore4",9,0.25,0.24,0.22,11
"54","OMcore4",10,0.21,0.19,0.16,11
"55","OMcore4",11,0.18,0.14,0.12,11
"56","OMstress1",1,0.93,0.99,1,3
"57","OMstress1",2,0.74,0.92,0.99,5
"58","OMstress1",3,0.39,0.56,0.73,11
"59","OMstress1",4,0.74,0.91,0.97,5
"60","OMstress1",5,0.73,0.89,0.93,5
"61","OMstress1",6,0.65,0.85,0.9,5
"62","OMstress1",7,0.65,0.85,0.95,5
"63","OMstress1",8,0.57,0.77,0.9,6
"64","OMstress1",9,0.5,0.68,0.85,8
"65","OMstress1",10,0.44,0.61,0.77,10
"66","OMstress1",11,0.39,0.55,0.7,11
"67","OMstress2",1,0.69,0.82,0.94,5
"68","OMstress2",2,0.46,0.55,0.69,11
"69","OMstress2",3,0.17,0.14,0.12,11
"70","OMstress2",4,0.46,0.54,0.66,11
"71","OMstress2",5,0.45,0.5,0.56,11
"72","OMstress2",6,0.36,0.39,0.43,11
"73","OMstress2",7,0.38,0.43,0.48,11
"74","OMstress2",8,0.31,0.32,0.33,11
"75","OMstress2",9,0.25,0.25,0.23,11
"76","OMstress2",10,0.21,0.18,0.15,11
"77","OMstress2",11,0.17,0.14,0.1,11
"78","OMstress3",1,0.68,0.82,0.94,5
"79","OMstress3",2,0.51,0.61,0.77,11
"80","OMstress3",3,0.16,0.13,0.096,11
"81","OMstress3",4,0.5,0.6,0.73,11
"82","OMstress3",5,0.49,0.55,0.62,11
"83","OMstress3",6,0.37,0.41,0.46,11
"84","OMstress3",7,0.4,0.45,0.5,11
"85","OMstress3",8,0.31,0.33,0.32,11
"86","OMstress3",9,0.25,0.23,0.2,11
"87","OMstress3",10,0.19,0.16,0.13,11
"88","OMstress3",11,0.15,0.12,0.082,11
