"","y3","y5","y10","OM","MP"
"1",0.25,0.25,0.28,"OMbase",1
"2",0.73,0.72,0.74,"OMbase",10
"3",0.76,0.75,0.76,"OMbase",11
"4",0.48,0.46,0.48,"OMbase",2
"5",0.76,0.75,0.76,"OMbase",3
"6",0.48,0.47,0.5,"OMbase",4
"7",0.49,0.49,0.52,"OMbase",5
"8",0.57,0.56,0.58,"OMbase",6
"9",0.57,0.57,0.6,"OMbase",7
"10",0.64,0.64,0.67,"OMbase",8
"11",0.7,0.69,0.71,"OMbase",9
"12",0.22,0.22,0.27,"OMcore1",1
"13",0.63,0.55,0.49,"OMcore1",10
"14",0.66,0.57,0.51,"OMcore1",11
"15",0.41,0.36,0.36,"OMcore1",2
"16",0.66,0.57,0.5,"OMcore1",3
"17",0.41,0.37,0.38,"OMcore1",4
"18",0.42,0.38,0.4,"OMcore1",5
"19",0.49,0.43,0.42,"OMcore1",6
"20",0.49,0.43,0.42,"OMcore1",7
"21",0.55,0.48,0.45,"OMcore1",8
"22",0.6,0.52,0.47,"OMcore1",9
"23",0.18,0.17,0.21,"OMcore2",1
"24",0.71,0.7,0.71,"OMcore2",10
"25",0.74,0.73,0.73,"OMcore2",11
"26",0.4,0.38,0.39,"OMcore2",2
"27",0.74,0.72,0.73,"OMcore2",3
"28",0.4,0.39,0.41,"OMcore2",4
"29",0.41,0.41,0.45,"OMcore2",5
"30",0.51,0.49,0.51,"OMcore2",6
"31",0.51,0.49,0.51,"OMcore2",7
"32",0.59,0.58,0.6,"OMcore2",8
"33",0.67,0.65,0.67,"OMcore2",9
"34",0.31,0.31,0.33,"OMcore3",1
"35",0.79,0.77,0.79,"OMcore3",10
"36",0.81,0.79,0.8,"OMcore3",11
"37",0.57,0.55,0.57,"OMcore3",2
"38",0.8,0.79,0.8,"OMcore3",3
"39",0.57,0.56,0.58,"OMcore3",4
"40",0.58,0.57,0.6,"OMcore3",5
"41",0.65,0.64,0.66,"OMcore3",6
"42",0.65,0.65,0.68,"OMcore3",7
"43",0.72,0.71,0.74,"OMcore3",8
"44",0.75,0.75,0.77,"OMcore3",9
"45",0.23,0.23,0.26,"OMcore4",1
"46",0.72,0.71,0.72,"OMcore4",10
"47",0.74,0.73,0.74,"OMcore4",11
"48",0.48,0.47,0.48,"OMcore4",2
"49",0.74,0.73,0.74,"OMcore4",3
"50",0.48,0.47,0.5,"OMcore4",4
"51",0.49,0.49,0.52,"OMcore4",5
"52",0.56,0.55,0.56,"OMcore4",6
"53",0.56,0.55,0.58,"OMcore4",7
"54",0.63,0.62,0.64,"OMcore4",8
"55",0.68,0.67,0.69,"OMcore4",9
"56",0.18,0.17,0.24,"OMstress1",1
"57",0.52,0.44,0.43,"OMstress1",10
"58",0.55,0.47,0.45,"OMstress1",11
"59",0.31,0.27,0.3,"OMstress1",2
"60",0.55,0.47,0.44,"OMstress1",3
"61",0.32,0.27,0.33,"OMstress1",4
"62",0.32,0.29,0.36,"OMstress1",5
"63",0.38,0.33,0.38,"OMstress1",6
"64",0.37,0.32,0.35,"OMstress1",7
"65",0.43,0.36,0.38,"OMstress1",8
"66",0.48,0.41,0.4,"OMstress1",9
"67",0.25,0.25,0.28,"OMstress2",1
"68",0.72,0.71,0.74,"OMstress2",10
"69",0.75,0.74,0.76,"OMstress2",11
"70",0.44,0.42,0.44,"OMstress2",2
"71",0.75,0.74,0.75,"OMstress2",3
"72",0.44,0.43,0.46,"OMstress2",4
"73",0.45,0.45,0.49,"OMstress2",5
"74",0.55,0.54,0.56,"OMstress2",6
"75",0.54,0.54,0.57,"OMstress2",7
"76",0.62,0.62,0.65,"OMstress2",8
"77",0.68,0.68,0.7,"OMstress2",9
"78",0.25,0.25,0.28,"OMstress3",1
"79",0.74,0.73,0.75,"OMstress3",10
"80",0.77,0.76,0.77,"OMstress3",11
"81",0.39,0.38,0.39,"OMstress3",2
"82",0.77,0.75,0.77,"OMstress3",3
"83",0.39,0.39,0.42,"OMstress3",4
"84",0.41,0.41,0.46,"OMstress3",5
"85",0.52,0.51,0.53,"OMstress3",6
"86",0.52,0.52,0.55,"OMstress3",7
"87",0.62,0.62,0.65,"OMstress3",8
"88",0.69,0.69,0.71,"OMstress3",9
